Player,Score,Percent_Positive,Total_Comments,Positive,Neutral,Negative,Rk,AV,Round,Pick,DrftYr,College,From,To,Age,G,GS,AV.1,Pos,Team,-9999
Myles Garrett,82.21448391675949,0.2765957446808511,188,52,98,38,6,68.0,1,1,2017,Texas A&M,2017,2023,22-28,95,92,68.0,LDE,CLE,GarrMy00
Mitchell Trubisky,-1.2024941444396973,0.09929078014184398,141,14,78,49,55,39.0,1,2,2017,North Carolina,2017,2023,23-29,66,55,39.0,QB,BUFCHIPIT,TrubMi00
Solomon Thomas,87.05228585004807,0.21304347826086956,230,49,128,53,274,18.0,1,3,2017,Stanford,2017,2023,22-28,93,30,18.0,RDE,LVRNYJSFO,ThomSo00
Leonard Fournette,130.60218170285225,0.34513274336283184,226,78,106,42,41,42.0,1,4,2017,Louisiana State,2017,2022,22-27,79,61,42.0,RB,JAXTAM,FourLe00
Corey Davis,51.446457386016846,0.1506849315068493,219,33,128,58,75,34.0,1,5,2017,Western Michigan,2017,2022,22-27,78,67,34.0,WR,NYJTEN,DaviCo03
Jamal Adams,51.375602543354034,0.2631578947368421,228,60,98,70,34,45.0,1,6,2017,Louisiana State,2017,2023,22-28,78,78,45.0,SS,NYJSEA,AdamJa00
Mike Williams,58.96509447693825,0.14893617021276595,235,35,141,59,56,39.0,1,7,2017,Clemson,2017,2023,23-29,88,62,39.0,WR,LAC,WillMi07
Christian McCaffrey,13.799955487251282,0.1694915254237288,118,20,60,38,8,63.0,1,8,2017,Stanford,2017,2023,21-27,86,79,63.0,RB,CARSFO,McCaCh01
John Ross,41.03813174366951,0.09163346613545817,251,23,159,69,600,7.0,1,9,2017,Washington,2017,2021,22-26,37,21,7.0,WR,CINNYG,RossJo00
Patrick Mahomes II,40.997663110494614,0.2204724409448819,127,28,66,33,1,94.0,1,10,2017,Texas Tech,2017,2023,22-28,91,91,94.0,QB,KAN,MahoPa00
Marshon Lattimore,86.44009232521057,0.3,210,63,97,50,46,41.0,1,11,2017,Ohio State,2017,2023,21-27,90,90,41.0,RCB,NOR,LattMa01
Deshaun Watson,81.2400181889534,0.31690140845070425,142,45,70,27,12,59.0,1,12,2017,Clemson,2017,2023,22-28,66,65,59.0,QB,CLEHOU,WatsDe00
Haason Reddick,50.11253744363785,0.25203252032520324,123,31,64,28,51,40.0,1,13,2017,Temple,2017,2023,23-29,108,75,40.0,RLB,ARICARPHI,ReddHa00
Derek Barnett,56.98392355442047,0.16455696202531644,158,26,97,35,162,24.0,1,14,2017,Tennessee,2017,2023,21-27,73,45,24.0,LDE,PHI,BarnDe01
Malik Hooker,69.41704270243645,0.2721518987341772,158,43,81,34,247,19.0,1,15,2017,Ohio State,2017,2023,21-27,78,55,19.0,S,DALIND,HookMa00
Marlon Humphrey,85.24688535928726,0.25443786982248523,169,43,91,35,24,50.0,1,16,2017,Alabama,2017,2023,21-27,96,78,50.0,CB,BAL,HumpMa00
Jonathan Allen,9.437484323978424,0.15422885572139303,201,31,101,69,28,48.0,1,17,2017,Alabama,2017,2023,22-28,97,97,48.0,RDT,WAS,AlleJo01
Adoree Jackson,71.16148829460144,0.2714285714285714,140,38,76,26,169,24.0,1,18,2017,Southern California,2017,2023,22-28,78,72,24.0,LCB,NYGTEN,JackAd00
O.J. Howard,15.082690358161926,0.20430107526881722,186,38,85,63,354,14.0,1,19,2017,Alabama,2017,2022,23-28,72,56,14.0,TE,HOUTAM,HowaO.00
Garett Bolles,28.552778214216232,0.18055555555555555,216,39,109,68,57,38.0,1,20,2017,Utah,2017,2023,25-31,93,93,38.0,LT,DEN,BollGa00
Jarrad Davis,44.22015431523323,0.16176470588235295,136,22,82,32,179,23.0,1,21,2017,Florida,2017,2022,23-28,68,51,23.0,MLB,DETNYGNYJ,DaviJa01
Charles Harris,22.82522651553154,0.11428571428571428,140,16,83,41,330,15.0,1,22,2017,Missouri,2017,2023,22-28,87,30,15.0,DE,ATLDETMIA,HarrCh03
Evan Engram,42.55440381169319,0.12,150,18,95,37,119,29.0,1,23,2017,Ole Miss,2017,2023,23-29,93,75,29.0,TE,JAXNYG,EngrEv00
Gareon Conley,1.2925609946250916,0.06349206349206349,126,8,78,40,489,9.0,1,24,2017,Ohio State,2017,2019,22-24,31,26,9.0,DB,HOUOAK,ConlGa00
Jabrill Peppers,70.00555688142776,0.22797927461139897,193,44,102,47,148,26.0,1,25,2017,Michigan,2017,2023,22-28,89,75,26.0,DB,CLENWENYG,PeppJa00
Takkarist McKinley,52.35704970359802,0.23170731707317074,246,57,115,74,311,16.0,1,26,2017,UCLA,2017,2022,22-27,64,27,16.0,OLB,ATLCLELAR,McKiTa00
Tre'Davious White,44.01544335484505,0.23469387755102042,98,23,55,20,25,50.0,1,27,2017,Louisiana State,2017,2023,22-28,82,82,50.0,LCB,BUF,WhitTr01
Taco Charlton,79.35033047199249,0.1708542713567839,199,34,125,40,454,10.0,1,28,2017,Michigan,2017,2022,23-28,60,13,10.0,DE,CHIDALKANMIAPIT,CharTa00
David Njoku,70.22908246517181,0.20809248554913296,173,36,97,40,253,19.0,1,29,2017,Miami (FL),2017,2023,21-27,90,61,19.0,TE,CLE,NjokDa00
T.J. Watt,33.90498301386833,0.23529411764705882,170,40,78,52,4,73.0,1,30,2017,Wisconsin,2017,2023,23-29,98,98,73.0,LB,PIT,WattT.00
Reuben Foster,74.45115923881531,0.09615384615384616,260,25,176,59,534,8.0,1,31,2017,Alabama,2017,2018,23-24,16,16,8.0,MLB,SFO,FostRe00
Ryan Ramczyk,26.787840217351913,0.25263157894736843,95,24,45,26,7,67.0,1,32,2017,Wisconsin,2017,2023,23-29,99,99,67.0,RT,NOR,RamcRy00
Connor Williams,34.16100066900253,0.20689655172413793,116,24,62,30,105,31.0,2,50,2018,Texas,2018,2023,21-26,81,75,31.0,LG,DALMIA,WillCo00
Isaiah Wynn,72.80865120887756,0.10572687224669604,227,24,154,49,236,20.0,1,23,2018,Georgia,2019,2023,24-28,50,47,20.0,LT,MIANWE,WynnIs00
Nick Chubb,62.2523307800293,0.23387096774193547,124,29,72,23,26,49.0,2,35,2018,Georgia,2018,2023,23-28,77,70,49.0,RB,CLE,ChubNi00
Rashaad Penny,56.923303455114365,0.16312056737588654,141,23,88,30,363,14.0,1,27,2018,San Diego State,2018,2023,22-27,44,11,14.0,RB,PHISEA,PennRa00
Dante Pettis,21.12304249405861,0.18181818181818182,77,14,42,21,474,10.0,2,44,2018,Washington,2018,2022,23-27,50,19,10.0,WR,CHINYGSFO,PettDa00
Kemoko Turay,9.012443661689758,0.0625,32,2,23,7,724,5.0,2,52,2018,Rutgers,2018,2022,23-27,41,3,5.0,LB,INDSFO,TuraKe00
Rashaan Evans,22.564773112535477,0.23255813953488372,86,20,41,25,77,34.0,1,22,2018,Alabama,2018,2023,23-28,81,68,34.0,LB,ATLDALTEN,EvanRa01
Josh Jackson,28.350023090839386,0.22099447513812154,181,40,84,57,540,8.0,2,45,2018,Iowa,2018,2022,22-26,49,16,8.0,RCB/DB,ARIGNBKANPIT,JackJo01
Will Hernandez,85.19603624939919,0.4,125,50,54,21,108,30.0,2,34,2018,UTEP,2018,2023,23-28,87,81,30.0,LG,ARINYG,HernWi00
Quenton Nelson,85.19603624939919,0.4,125,50,54,21,10,60.0,1,6,2018,Notre Dame,2018,2023,22-27,89,89,60.0,LG,IND,NelsQu00
Mike McGlinchey,71.57944765686989,0.1638655462184874,238,39,142,57,78,34.0,1,9,2018,Notre Dame,2018,2023,23-28,80,80,34.0,T,DENSFO,McGlMi00
Kerryon Johnson,61.24677070975304,0.14345991561181434,237,34,142,61,437,11.0,2,43,2018,Auburn,2018,2021,21-24,35,16,11.0,RB,DETSFO,JohnKe06
Courtland Sutton,24.187478214502335,0.23333333333333334,90,21,43,26,152,26.0,2,40,2018,SMU,2018,2023,23-28,76,64,26.0,WR,DEN,SuttCo00
P.J. Hall,58.353819876909256,0.22330097087378642,103,23,64,16,432,11.0,2,57,2018,Sam Houston State,2018,2020,23-25,40,27,11.0,LDT,HOUOAK,HallP.00
Denzel Ward,44.08216044306755,0.13095238095238096,168,22,105,41,104,31.0,1,4,2018,Ohio State,2018,2023,21-26,76,75,31.0,LCB,CLE,WardDe02
Duke Dawson,18.307869404554367,0.0963855421686747,83,8,54,21,800,3.0,2,56,2018,Florida,2019,2020,24-25,26,4,3.0,DB,DEN,DawsDu00
Donte Jackson,12.928966462612152,0.16666666666666666,42,7,24,11,183,23.0,2,55,2018,Louisiana State,2018,2023,23-28,74,70,23.0,LCB,CAR,JackDo02
Roquan Smith,107.9817034304142,0.36097560975609755,205,74,86,45,13,58.0,1,8,2018,Georgia,2018,2023,21-26,90,88,58.0,RILB,BALCHI,SmitRo07
Terrell Edmunds,41.9729660153389,0.22705314009661837,207,47,97,63,131,28.0,1,28,2018,Virginia Tech,2018,2023,21-26,90,79,28.0,SS,PHIPITTEN,EdmuTe00
Jaire Alexander,63.67155879735947,0.23622047244094488,127,30,74,23,92,32.0,1,18,2018,Louisville,2018,2023,21-26,69,67,32.0,LCB,GNB,AlexJa00
Anthony Miller,53.0390542447567,0.4,75,30,34,11,382,13.0,2,51,2018,Memphis,2018,2021,24-27,50,18,13.0,WR,CHIHOUPIT,MillAn02
Carlton Davis,22.693487465381622,0.34375,32,11,17,4,165,24.0,2,63,2018,Auburn,2018,2023,21-26,72,71,24.0,LCB,TAM,DaviCa02
DJ Chark,44.69755530357361,0.42857142857142855,49,21,25,3,238,19.0,2,61,2018,Louisiana State,2018,2023,22-27,63,45,19.0,WR,CARDETJAX,CharDJ00
Ronald Jones II,30.452507466077805,0.1956521739130435,92,18,49,25,250,19.0,2,38,2018,Southern California,2018,2022,21-25,61,25,19.0,RB,KANTAM,JoneRo01
Frank Ragnow,61.923733830451965,0.1728395061728395,162,28,100,34,79,34.0,1,20,2018,Arkansas,2018,2023,22-27,75,75,34.0,C,DET,RagnFr00
Shaquille Leonard,3.5203274488449097,0.15789473684210525,38,6,19,13,9,60.0,2,36,2018,South Carolina State,2018,2023,23-28,70,68,60.0,LB,IND,LeonDa00
Jessie Bates III,28.319311648607254,0.20512820512820512,39,8,28,3,69,35.0,2,54,2018,Wake Forest,2018,2023,21-26,90,90,35.0,FS,ATLCIN,BateJe00
Josh Rosen,49.086379915475845,0.21764705882352942,170,37,86,47,845,3.0,1,10,2018,UCLA,2018,2021,21-24,24,16,3.0,QB,ARIATLMIA,RoseJo01
Mike Hughes,60.03254508972168,0.21428571428571427,98,21,64,13,467,10.0,1,30,2018,Central Florida,2018,2023,21-26,67,19,10.0,CB,ATLDETKANMIN,HughMi00
Derrius Guice,39.62234655022621,0.1834319526627219,169,31,94,44,903,2.0,2,59,2018,Louisiana State,2019,2019,22,5,1,2.0,RB,WAS,GuicDe00
Harold Landry,64.27909523248672,0.09154929577464789,284,26,185,73,110,30.0,2,41,2018,Boston College,2018,2023,22-27,75,60,30.0,ROLB,TEN,LandHa00
Breeland Speaks,34.94976580142975,0.1935483870967742,62,12,41,9,851,3.0,2,46,2018,Ole Miss,2018,2018,23,16,4,3.0,DT,KAN,SpeaBr00
Brian O'Neill,-6.083514750003815,0.16666666666666666,48,8,20,20,50,40.0,2,62,2018,Pittsburgh,2018,2023,23-28,91,87,40.0,RT,MIN,ONeiBr00
Leighton Vander Esch,81.94423997402191,0.2073170731707317,164,34,102,28,68,36.0,1,19,2018,Boise State,2018,2023,22-27,71,65,36.0,RLB,DAL,VandLe00
James Daniels,42.33863186836243,0.2597402597402597,77,20,43,14,147,26.0,2,39,2018,Iowa,2018,2023,21-26,80,74,26.0,OL,CHIPIT,DaniJa01
Daron Payne,16.29161536693573,0.1308411214953271,107,14,62,31,42,42.0,1,13,2018,Alabama,2018,2023,21-26,93,87,42.0,LDT,WAS,PaynDa00
Christian Kirk,52.69453865289688,0.3,80,24,42,14,67,36.0,2,47,2018,Texas A&M,2018,2023,22-27,84,69,36.0,WR,ARIJAX,KirkCh01
Vita Vea,92.24634027481079,0.19402985074626866,268,52,152,64,90,33.0,1,12,2018,Washington,2018,2023,23-28,74,69,33.0,NT,TAM,VeaxVi00
Dallas Goedert,25.78227362036705,0.17587939698492464,199,35,100,64,137,27.0,2,49,2018,South Dakota State,2018,2023,23-28,78,61,27.0,TE,PHI,GoedDa00
Sony Michel,24.400045573711395,0.13709677419354838,124,17,71,36,184,23.0,1,31,2018,Georgia,2018,2022,23-27,65,35,23.0,RB,LACLARNWE,MichSo00
Derwin James,9.400664776563644,0.2149122807017544,228,49,98,81,155,25.0,1,17,2018,Florida State,2018,2023,22-27,60,60,25.0,S,LAC,JameDe00
Marcus Davenport,31.056493937969208,0.08241758241758242,182,15,120,47,239,19.0,1,14,2018,UTSA,2018,2023,22-27,67,35,19.0,DE,MINNOR,DaveMa00
Austin Corbett,41.18333971500397,0.15584415584415584,77,12,53,12,146,26.0,2,33,2018,Nevada,2018,2023,23-28,76,62,26.0,RG,CARCLELAR,CorbAu00
Lamar Jackson,45.73258924484253,0.18032786885245902,122,22,72,28,3,74.0,1,32,2018,Louisville,2018,2023,21-26,82,73,74.0,QB,BAL,JackLa00
Uchenna Nwosu,14.869571924209595,0.22727272727272727,44,10,22,12,185,23.0,2,48,2018,Southern California,2018,2023,22-27,85,48,23.0,LB,LACSEA,NwosUc00
Taven Bryan,26.601152658462524,0.17699115044247787,113,20,61,32,279,17.0,1,29,2018,Florida,2018,2023,22-27,90,39,17.0,DT,CLEINDJAX,BryaTa00
Minkah Fitzpatrick,70.0501554608345,0.3155080213903743,187,59,78,50,21,51.0,1,11,2018,Alabama,2018,2023,22-27,86,81,51.0,S,MIAPIT,FitzMi00
Josh Allen,43.39139869809151,0.1513157894736842,152,23,92,37,2,74.0,1,7,2018,Wyoming,2018,2023,22-27,89,88,74.0,QB,BUF,AlleJo02
Josh Allen,43.39139869809151,0.1513157894736842,152,23,92,37,160,24.0,1,7,2019,Kentucky,2019,2023,22-26,68,54,24.0,OLB,JAX,AlleJo03
Saquon Barkley,21.226124197244644,0.16363636363636364,110,18,61,31,47,40.0,1,2,2018,Penn State,2018,2023,21-26,69,69,40.0,RB,NYG,BarkSa00
M.J. Stewart,-3.114643007516861,0.075,40,3,22,15,660,6.0,2,53,2018,North Carolina,2018,2023,23-28,75,10,6.0,S,CLEHOUTAM,StewM.00
Braden Smith,24.553501933813095,0.1935483870967742,62,12,38,12,73,35.0,2,37,2018,Auburn,2018,2023,22-27,79,77,35.0,RT,IND,SmitBr06
Kolton Miller,23.296072334051132,0.12299465240641712,187,23,111,53,61,37.0,1,15,2018,UCLA,2018,2023,23-28,89,89,37.0,LT,LVROAK,MillKo00
Tremaine Edmunds,65.34757721424103,0.22272727272727272,220,49,115,56,27,49.0,1,16,2018,Virginia Tech,2018,2023,20-25,84,84,49.0,MLB,BUFCHI,EdmuTr01
Calvin Ridley,49.98431885242462,0.18857142857142858,175,33,97,45,143,27.0,1,26,2018,Alabama,2018,2023,24-29,60,46,27.0,WR,ATLJAX,RidlCa00
Billy Price,44.1231934428215,0.20388349514563106,103,21,60,22,231,20.0,1,21,2018,Ohio State,2018,2022,24-28,69,45,20.0,C,ARICINNYG,PricBi01
Tyquan Lewis,26.895272493362427,0.2682926829268293,41,11,24,6,439,11.0,2,64,2018,Ohio State,2018,2023,23-28,59,16,11.0,DE,IND,LewiTy00
Mike Gesicki,53.1803357899189,0.2,105,21,65,19,206,21.0,2,42,2018,Penn State,2018,2023,23-28,92,37,21.0,TE,MIANWE,GesiMi00
D.J. Moore,81.82241758704185,0.24444444444444444,135,33,83,19,38,43.0,1,24,2018,Maryland,2018,2023,21-26,92,85,43.0,WR,CARCHI,MoorD.00
Sam Darnold,113.91996827721596,0.2789473684210526,190,53,109,28,136,27.0,1,3,2018,Southern California,2018,2023,21-26,61,55,27.0,QB,CARNYJSFO,DarnSa00
Baker Mayfield,40.15935009717941,0.23595505617977527,89,21,49,19,22,51.0,1,1,2018,Oklahoma,2018,2023,23-28,83,80,51.0,QB,CARCLELARTAM,MayfBa00
Bradley Chubb,36.515825629234314,0.1552511415525114,219,34,120,65,100,31.0,1,5,2018,NC State,2018,2023,22-27,68,67,31.0,LOLB,DENMIA,ChubBr00
Hayden Hurst,58.42777943611145,0.1610738255033557,149,24,93,32,286,17.0,1,25,2018,South Carolina,2018,2023,25-30,79,39,17.0,TE,ATLBALCARCIN,HursHa00
James Washington,44.592678397893906,0.2054794520547945,73,15,48,10,420,12.0,2,60,2018,Oklahoma State,2018,2022,22-26,62,25,12.0,WR,DALPIT,WashJa00
Isaiah Oliver,16.403928607702255,0.26666666666666666,135,36,51,48,384,13.0,2,58,2018,Colorado,2018,2023,22-27,73,43,13.0,CB,ATLSFO,OlivIs00
Kyler Murray,8.480568885803223,0.06896551724137931,116,8,71,37,19,54.0,1,1,2019,Oklahoma,2019,2023,22-26,60,60,54.0,QB,ARI,MurrKy00
Josh Allen,24.95126548409462,0.21764705882352942,170,37,78,55,2,74.0,1,7,2018,Wyoming,2018,2023,22-27,89,88,74.0,QB,BUF,AlleJo02
Josh Allen,24.95126548409462,0.21764705882352942,170,37,78,55,160,24.0,1,7,2019,Kentucky,2019,2023,22-26,68,54,24.0,OLB,JAX,AlleJo03
Christian Wilkins,117.66129097342491,0.25263157894736843,285,72,149,64,128,29.0,1,13,2019,Clemson,2019,2023,24-28,75,71,29.0,DT,MIA,WilkCh00
Montez Sweat,69.43138375878334,0.21256038647342995,207,44,113,50,126,29.0,1,26,2019,Mississippi State,2019,2023,23-27,71,71,29.0,DE,CHIWAS,SweaMo00
Deandre Baker,58.17339423298836,0.15217391304347827,138,21,90,27,614,6.0,1,30,2019,Georgia,2019,2021,22-24,26,17,6.0,LCB,KANNYG,BakeDe00
Elgton Jenkins,7.367283016443253,0.125,80,10,44,26,85,33.0,2,44,2019,Mississippi State,2019,2023,24-28,64,62,33.0,LT,GNB,JenkEl00
Marquise Blair,33.171734005212784,0.2835820895522388,67,19,35,13,876,2.0,2,47,2019,Utah,2019,2022,22-25,25,3,2.0,DB,CARSEA,BlaiMa01
Drew Sample,26.84883651137352,0.1,60,6,44,10,771,4.0,2,52,2019,Washington,2019,2023,23-27,55,30,4.0,TE,CIN,SampDr00
Lonnie Johnson Jr.,1.6601738333702087,0.2698412698412698,63,17,20,26,503,9.0,2,54,2019,Kentucky,2019,2023,24-28,65,19,9.0,DB,HOUNORTEN,JohnLo01
Mecole Hardman,53.06839519739151,0.06878306878306878,189,13,134,42,181,23.0,2,56,2019,Georgia,2019,2023,21-25,66,27,23.0,WR,KANNYJ,HardMe00
Parris Campbell,51.0165633559227,0.24509803921568626,102,25,57,20,484,9.0,2,59,2019,Ohio State,2019,2023,22-26,44,27,9.0,WR,INDNYG,CampPa00
D.K. Metcalf,20.9938146173954,0.14814814814814814,135,20,73,42,49,40.0,2,64,2019,Ole Miss,2019,2023,22-26,76,75,40.0,WR,SEA,MetcDK00
Josh Jacobs,91.15177598595619,0.1702127659574468,188,32,125,31,58,38.0,1,24,2019,Alabama,2019,2023,21-25,72,71,38.0,RB,LVROAK,JacoJo01
Daniel Jones,-2.1892662048339844,0.12295081967213115,122,15,64,43,48,40.0,1,6,2019,Duke,2019,2023,22-26,60,59,40.0,QB,NYG,JoneDa05
Ben Banogu,6.170515775680542,0.0967741935483871,62,6,35,21,729,4.0,2,49,2019,TCU,2019,2022,23-26,50,0,4.0,LB,IND,BanoBe00
Dexter Lawrence,86.33821254968643,0.1752988047808765,251,44,152,55,87,33.0,1,17,2019,Clemson,2019,2023,22-26,75,68,33.0,LDE,NYG,LawrDe03
Rock Ya-Sin,48.18567728996277,0.24161073825503357,149,36,71,42,368,14.0,2,34,2019,Temple,2019,2023,23-27,63,38,14.0,LCB/RCB,BALINDLVR,Ya-SRo00
Sean Murphy-Bunting,16.73084184527397,0.04597701149425287,87,4,61,22,323,15.0,2,39,2019,Central Michigan,2019,2023,22-26,62,45,15.0,RCB,TAMTEN,BuntSe00
JJ Arcega-Whiteside,38.41367635130882,0.17307692307692307,104,18,62,24,870,2.0,2,57,2019,Stanford,2019,2021,22-24,40,7,2.0,WR,PHI,ArceJJ00
Ed Oliver,73.02109980583191,0.3148148148148148,162,51,73,38,101,31.0,1,9,2019,Houston,2019,2023,22-26,73,64,31.0,LDT/RDT,BUF,OlivEd00
Andy Isabella,37.12528318166733,0.16666666666666666,138,23,77,38,749,4.0,2,62,2019,Massachusetts,2019,2023,23-27,43,3,4.0,WR,ARIBALBUF,IsabAn00
Jeffery Simmons,-139.9340345263481,0.045283018867924525,265,12,111,142,54,39.0,1,19,2019,Mississippi State,2019,2023,22-26,67,65,39.0,LDE,TEN,SimmJe01
Deebo Samuel,56.1493284702301,0.32989690721649484,97,32,46,19,72,35.0,2,36,2019,South Carolina,2019,2023,23-27,60,52,35.0,WR,SFO,SamuDe00
Dwayne Haskins,11.981549590826035,0.1592356687898089,157,25,79,53,745,4.0,1,15,2019,Ohio State,2019,2020,22-23,16,13,4.0,QB,WAS,HaskDw00
Dalton Risner,27.940133184194565,0.2087912087912088,91,19,47,25,188,23.0,2,41,2019,Kansas State,2019,2023,24-28,72,68,23.0,LG,DENMIN,RisnDa00
Devin White,138.30158460140228,0.28044280442804426,271,76,139,56,39,43.0,1,5,2019,Louisiana State,2019,2023,21-25,73,73,43.0,LILB,TAM,WhitDe02
Marquise Brown,96.0805851817131,0.22631578947368422,190,43,110,37,96,31.0,1,25,2019,Oklahoma,2019,2023,22-26,70,63,31.0,WR,ARIBAL,BrowMa04
Devin Bush Jr.,76.81606563925743,0.1945945945945946,185,36,112,37,163,24.0,1,10,2019,Michigan,2019,2023,21-25,59,49,24.0,LILB/RILB,PITSEA,BushDe01
L.J. Collier,48.72770595550537,0.11724137931034483,145,17,96,32,487,9.0,1,29,2019,TCU,2019,2023,24-28,46,17,9.0,DE,ARISEA,CollLJ00
Tytus Howard,66.77280822396278,0.0449438202247191,178,8,140,30,168,24.0,1,23,2019,Alabama State,2019,2023,23-27,61,61,24.0,LG,HOU,HowaTy00
Byron Murphy,37.944095611572266,0.24528301886792453,106,26,54,26,230,20.0,2,33,2019,Washington,2019,2023,21-25,68,60,20.0,CB,ARIMIN,MurpBy00
Erik McCoy,35.52494555711746,0.20481927710843373,83,17,49,17,157,25.0,2,48,2019,Texas A&M,2019,2023,22-26,68,68,25.0,OL,NOR,McCoEr01
Clelin Ferrell,36.22215282917023,0.1282051282051282,156,20,98,38,371,13.0,1,4,2019,Clemson,2019,2023,22-26,69,41,13.0,LDE,LVROAKSFO,FerrCl00
Greedy Williams,43.604515463113785,0.2,150,30,82,38,566,8.0,2,46,2019,Louisiana State,2019,2022,22-25,39,21,8.0,RCB,CLE,WillGr00
Joejuan Williams,18.090716689825058,0.12162162162162163,148,18,83,47,864,3.0,2,45,2019,Vanderbilt,2019,2023,22-26,41,1,3.0,DB,CHIMINNWE,WillJo13
Noah Fant,79.52375283837318,0.19457013574660634,221,43,127,51,241,19.0,1,20,2019,Iowa,2019,2023,22-26,75,68,19.0,TE,DENSEA,FantNo00
Cody Ford,23.523182809352875,0.2558139534883721,86,22,38,26,306,16.0,2,38,2019,Oklahoma,2019,2023,23-27,60,33,16.0,RG,ARIBUFCIN,FordCo00
Taylor Rapp,-9.110146164894104,0.2153846153846154,65,14,21,30,255,19.0,2,61,2019,Washington,2019,2023,22-26,68,50,19.0,SS,BUFLAR,RappTa00
Greg Little,45.09510099887848,0.2375,80,19,47,14,544,8.0,2,37,2019,Ole Miss,2019,2022,22-25,31,13,8.0,T,CARMIA,LittGr01
N'Keal Harry,31.377323925495148,0.2556390977443609,133,34,57,42,585,7.0,1,32,2019,Arizona State,2019,2023,22-26,49,18,7.0,WR,CHIMINNWE,HarrNK00
Irv Smith Jr.,45.01092994213104,0.24468085106382978,94,23,52,19,558,8.0,2,50,2019,Alabama,2019,2023,21-25,46,20,8.0,TE,CINMIN,SmitIr01
Chris Lindstrom,48.558058351278305,0.16842105263157894,190,32,111,47,140,27.0,1,14,2019,Boston College,2019,2023,22-26,66,66,27.0,RG,ATL,LindCh00
Max Scharping,29.063380658626556,0.2631578947368421,38,10,25,3,271,18.0,2,55,2019,Northern Illinois,2019,2023,23-27,73,33,18.0,RG,CINHOU,SchaMa01
Juan Thornhill,28.58280810713768,0.32727272727272727,55,18,24,13,275,18.0,2,63,2019,Virginia,2019,2023,24-28,74,61,18.0,FS,CLEKAN,ThorJu00
Jawaan Taylor,71.75279688835144,0.3161764705882353,136,43,68,25,135,28.0,2,35,2019,Florida,2019,2023,22-26,77,77,28.0,RT,JAXKAN,TaylJa02
